plate, mjd, fiber, FWHM_broad_Halpha, log_L_OIII_5007, log_L_narrow_Hbeta, EW_broad_Hbeta, EW_broad_FeII, EW_OIII_5007, r_mag, W1_mag, W2_mag, W3_mag, W4_mag, log_BH_mass, log_L_bol, log_Eddington_ratio 
2970.0, 54589.0, 292.0, 2296.4, 41.5, 40.55, 80.6, 20.3, 18.2, 17.405, 12.46, 11.518, 8.764, 6.62, 7.7, 44.855, -0.94 
375.0, 52140.0, 12.0, 2025.3, 41.0, 40.77, 77.3, 97.1, 4.4, 17.636, nan, nan, nan, nan, 7.86, 45.024, -0.93 
1006.0, 52708.0, 586.0, 1882.7, 42.0, 42.04, 59.1, 7.4, 12.5, 17.148, nan, nan, nan, nan, 8.22, 45.531, -0.79 
1160.0, 52674.0, 171.0, 1933.7, 41.6, 40.76, 47.9, 51.8, 10.1, 16.987, nan, nan, nan, nan, 7.86, 45.245, -0.71 
725.0, 52258.0, 170.0, 2060.0, 42.1, nan, 104.8, 59.3, 54.8, 17.904, nan, nan, nan, nan, 7.52, 45.004, -0.62 
1752.0, 53379.0, 430.0, 1436.3, 41.3, nan, 30.2, 30.1, 5.8, 18.619, nan, nan, nan, nan, 7.22, 45.203, -0.11 
1740.0, 53050.0, 67.0, 4510.2, 41.0, 40.62, 31.8, 29.8, 3.8, 18.699, nan, nan, nan, nan, 8.84, 45.132, -1.8 
2113.0, 53468.0, 625.0, 2085.9, 41.9, 41.9, 92.9, 29.7, 24.1, 17.884, nan, nan, nan, nan, 7.92, 45.216, -0.8 
2003.0, 53442.0, 60.0, 2321.0, 41.5, 40.13, 77.6, 30.8, 13.5, 18.406, nan, nan, nan, nan, 7.79, 45.028, -0.86 
1771.0, 53498.0, 107.0, 1656.9, 42.4, 41.65, 72.9, 26.8, 14.9, 16.819, nan, nan, nan, nan, 7.89, 45.87, -0.12 
1061.0, 52641.0, 391.0, 2009.9, 41.4, 41.33, 57.3, 50.4, 5.5, 17.667, 13.016, 11.985, 9.39, 7.213, 7.42, 45.339, -0.18 
766.0, 52247.0, 342.0, 1717.3, 41.1, 41.32, 55.4, 85.4, 4.1, 18.38, 14.023, 13.015, 10.517, 8.262, 7.92, 45.159, -0.87 
2242.0, 54153.0, 253.0, 1724.0, 41.3, 41.41, 41.9, 55.3, 6.5, 17.705, nan, nan, nan, nan, 7.86, 45.118, -0.84 
1738.0, 53051.0, 419.0, 2000.2, 42.0, 41.46, 105.6, 25.9, 10.1, 16.389, nan, nan, nan, nan, 8.1, 45.699, -0.5 
449.0, 51900.0, 62.0, 1413.6, 41.6, 41.0, 57.8, 83.6, 15.3, 17.278, 12.626, 11.677, 8.803, 6.237, 7.26, 45.112, -0.25 
831.0, 52294.0, 478.0, 1709.8, 41.5, 41.79, 16.9, 22.2, 8.3, 18.035, 13.844, 12.87, 9.967, 7.921, 8.37, 45.244, -1.23 
986.0, 52443.0, 575.0, 1758.4, 41.3, 40.0, 42.0, 40.6, 6.3, 18.609, nan, nan, nan, nan, 7.65, 45.177, -0.57 
1603.0, 53119.0, 282.0, 1473.4, 42.1, 40.95, 38.8, 26.5, 30.1, 17.777, nan, nan, nan, nan, 7.35, 45.252, -0.2 
2607.0, 54184.0, 477.0, 1748.7, 41.2, 40.65, 48.8, 59.5, 3.5, 17.566, nan, nan, nan, nan, 7.78, 45.327, -0.55 
2418.0, 53794.0, 624.0, 2241.3, 42.0, 39.95, 77.9, 36.9, 13.2, 16.982, 12.764, 11.67, 9.004, 6.768, 7.92, 45.493, -0.52 
1980.0, 53433.0, 3.0, 1432.0, 41.5, 41.26, 51.2, 72.4, 10.4, 18.103, nan, nan, nan, nan, 7.37, 45.162, -0.31 
1971.0, 53472.0, 588.0, 1606.4, 41.7, 40.98, 41.9, 9.0, 18.6, 18.372, nan, nan, nan, nan, 7.6, 45.091, -0.6 
497.0, 51989.0, 179.0, 1684.3, 41.7, 40.53, 49.5, 8.0, 22.1, 18.662, nan, nan, nan, nan, 7.57, 45.009, -0.66 
1943.0, 53386.0, 18.0, 1942.3, 41.8, 41.68, 86.0, 49.0, 25.3, 17.931, nan, nan, nan, nan, 8.01, 45.106, -1.01 
